char_count,char_freq
461,2640621748
462,2641914065
463,2643205826
464,2644497331
465,2645788225
466,2647078521
467,2648368472
468,2649653217
469,2650934671
470,2652214961
471,2653490831
472,2654765493
473,2656038084
474,2657308901
475,2658578470
476,2659847101
477,2661107334
478,2662365721
479,2663623396
480,2664877838
481,2666121141
482,2667362698
483,2668603589
484,2669841903
485,2671074294
486,2672303354
487,2673531515
488,2674758249
489,2675984877
490,2677210780
491,2678432117
492,2679652450
493,2680868845
494,2682080064
495,2683288658
496,2684496773
497,2685700919
498,2686900173
499,2688098868
500,2689291463
501,2690480606
502,2691667501
503,2692852337
504,2694036037
505,2695214769
506,2696392895
507,2697570639
508,2698744512
509,2699914029
510,2701083476
511,2702250955
512,2703415138
513,2704570987
514,2705724013
515,2706873413
516,2708019068
517,2709160635
518,2710301050
519,2711440154
520,2712576947
521,2713712988
522,2714846779
523,2715979114
524,2717108182
525,2718229216
526,2719349638
527,2720468004
528,2721582788
529,2722692099
530,2723800583
531,2724908534
532,2726015999
533,2727123054
534,2728224859
535,2729326342
536,2730427756
537,2731527452
538,2732625642
539,2733722834
540,2734815866
541,2735907219
542,2736998256
543,2738084400
544,2739165911
545,2740247389
546,2741327437
547,2742404193
548,2743476657
549,2744548430
550,2745619727
551,2746685103
552,2747738121
553,2748790446
554,2749841729
555,2750892754
556,2751943702
557,2752993401
558,2754042679
559,2755091635
560,2756138449
561,2757183564
562,2758226428
563,2759269204
564,2760309648
565,2761344283
566,2762376277
567,2763408018
568,2764439145
569,2765465765
570,2766492242
571,2767513763
572,2768534663
573,2769554548
574,2770574176
575,2771589967
576,2772603091
577,2773613180
578,2774619028
579,2775623349
580,2776620738
581,2777616060
582,2778607572
583,2779597596
584,2780587473
585,2781571704
586,2782553965
587,2783531414
588,2784507226
589,2785482125
590,2786452637
591,2787421677
592,2788389659
593,2789356231
594,2790322398
595,2791288273
596,2792253560
597,2793216198
598,2794176474
599,2795133855
600,2796090401
601,2797044622
602,2797997542
603,2798944104
604,2799890458
605,2800836229
606,2801781058
607,2802720715
608,2803658211
609,2804594080
610,2805528516
611,2806461811
612,2807394719
613,2808324823
614,2809248942
615,2810172730
616,2811095140
617,2812015280
618,2812934407
619,2813853353
620,2814771490
621,2815688381
622,2816604951
623,2817521062
624,2818436547
625,2819345956
626,2820252434
627,2821157639
628,2822061904
629,2822963165
630,2823861356
631,2824757912
632,2825654123
633,2826546893
634,2827438040
635,2828326160
636,2829213547
637,2830099810
638,2830984558
639,2831867189
640,2832749455
641,2833630784
642,2834509277
643,2835387748
644,2836266118
645,2837143982
646,2838019947
647,2838893879
648,2839766181
649,2840638326
650,2841509116
651,2842377714
652,2843244564
653,2844111214
654,2844977863
655,2845841709
656,2846703770
657,2847564609
658,2848424504
659,2849284165
660,2850142560
661,2850999386
662,2851854743
663,2852709596
664,2853562354
665,2854413715
666,2855263741
667,2856113637
668,2856961938
669,2857809967
670,2858656419
671,2859495978
672,2860333160
673,2861168338
674,2862001818
675,2862834821
676,2863667403
677,2864499279
678,2865329938
679,2866160024
680,2866989522
681,2867817622
682,2868644278
683,2869469501
684,2870294614
685,2871116722
686,2871934570
687,2872752233
688,2873568729
689,2874382461
690,2875193954
691,2876004718
692,2876815105
693,2877624486
694,2878432424
695,2879235717
696,2880037572
697,2880838763
698,2881638677
699,2882437301
700,2883235066
701,2884030972
702,2884826620
703,2885620006
704,2886412079
705,2887197323
706,2887981882
707,2888764558
708,2889545799
709,2890326260
710,2891106702
711,2891884110
712,2892661185
713,2893433838
714,2894203230
715,2894971592
716,2895739587
717,2896506573
718,2897271742
719,2898036539
720,2898800607
721,2899564285
722,2900326159
723,2901087689
724,2901847310
725,2902604767
726,2903360303
727,2904114622
728,2904867639
729,2905618541
730,2906368920
731,2907118601
732,2907866602
733,2908614582
734,2909360638
735,2910106552
736,2910850653
737,2911593582
738,2912333773
739,2913071128
740,2913807421
741,2914540892
742,2915273703
743,2916004764
744,2916735598
745,2917465455
746,2918192202
747,2918916691
748,2919640572
749,2920362289
750,2921082485
751,2921800998
752,2922518579
753,2923235905
754,2923952044
755,2924663609
756,2925375054
757,2926084607
758,2926792883
759,2927500705
760,2928205533
761,2928906991
762,2929606963
763,2930305621
764,2931003732
765,2931701626
766,2932399484
767,2933096441
768,2933793396
769,2934489508
770,2935185233
771,2935880662
772,2936574590
773,2937267480
774,2937957946
775,2938647317
776,2939336095
777,2940022403
778,2940707578
779,2941392577
780,2942076038
781,2942758910
782,2943440174
783,2944120578
784,2944799176
785,2945476636
786,2946154073
787,2946831250
788,2947506136
789,2948180817
790,2948854012
791,2949526391
792,2950198663
793,2950870772
794,2951542132
795,2952213105
796,2952883355
797,2953552951
798,2954221248
799,2954889121
800,2955555068
801,2956218811
802,2956881406
803,2957543843
804,2958204211
805,2958864404
806,2959524062
807,2960182221
808,2960838483
809,2961494068
810,2962148611
811,2962802727
812,2963456713
813,2964109880
814,2964762674
815,2965414817
816,2966065597
817,2966715107
818,2967364362
819,2968012770
820,2968661074
821,2969309108
822,2969956872
823,2970603446
824,2971246975
825,2971890140
826,2972532115
827,2973173280
828,2973814240
829,2974455071
830,2975094467
831,2975732210
832,2976368282
833,2977001340
834,2977632381
835,2978263223
836,2978893488
837,2979523582
838,2980153035
839,2980781862
840,2981410622
841,2982036255
842,2982661459
843,2983284680
844,2983907799
845,2984530543
846,2985153170
847,2985774883
848,2986395737
849,2987015801
850,2987632958
851,2988248704
852,2988864206
853,2989479341
854,2990093495
855,2990705991
856,2991317608
857,2991929026
858,2992538592
859,2993147484
860,2993755983
861,2994364434
862,2994970802
863,2995576769
864,2996182397
865,2996786354
866,2997387927
867,2997989410
868,2998589129
869,2999188559
870,2999787383
871,3000385638
872,3000982960
873,3001579868
874,3002176489
875,3002771899
876,3003365317
877,3003958652
878,3004549848
879,3005139595
880,3005728270
881,3006316297
882,3006903750
883,3007488157
884,3008072083
885,3008655886
886,3009239201
887,3009822473
888,3010405682
889,3010988314
890,3011570625
891,3012152389
892,3012732090
893,3013309900
894,3013887179
895,3014463923
896,3015038847
897,3015613562
898,3016187285
899,3016757707
900,3017327804
901,3017897893
902,3018467931
903,3019033572
904,3019598498
905,3020162134
906,3020725518
907,3021288823
908,3021851929
909,3022414784
910,3022976458
911,3023537172
912,3024097551
913,3024657453
914,3025217089
915,3025776000
916,3026334863
917,3026893707
918,3027451633
919,3028009027
920,3028563986
921,3029118178
922,3029672335
923,3030226332
924,3030780263
925,3031332385
926,3031883652
927,3032433578
928,3032983395
929,3033532989
930,3034082229
931,3034631465
932,3035179920
933,3035728282
934,3036272236
935,3036815341
936,3037357343
937,3037897798
938,3038436759
939,3038974095
940,3039509500
941,3040044005
942,3040577841
943,3041110277
944,3041641970
945,3042173615
946,3042704319
947,3043234669
948,3043764566
949,3044293695
950,3044821747
951,3045347055
952,3045871298
953,3046395531
954,3046919489
955,3047443351
956,3047966354
957,3048487101
958,3049007625
959,3049527125
960,3050046059
961,3050563165
962,3051080259
963,3051597325
964,3052113510
965,3052627832
966,3053141657
967,3053654559
968,3054167025
969,3054678368
970,3055189582
971,3055700393
972,3056210461
973,3056719719
974,3057228823
975,3057737559
976,3058244761
977,3058751420
978,3059257084
979,3059761721
980,3060265524
981,3060769150
982,3061269686
983,3061769729
984,3062269256
985,3062768467
986,3063267148
987,3063765812
988,3064264069
989,3064761889
990,3065259565
991,3065757168
992,3066253870
993,3066750061
994,3067246020
995,3067741627
996,3068236835
997,3068731767
998,3069226576
999,3069720060
1000,3070213083
1001,3070705720
1002,3071197909
1003,3071689740
1004,3072181002
1005,3072671294
1006,3073160994
1007,3073650555
1008,3074137239
1009,3074622675
1010,3075108061
1011,3075593139
1012,3076077121
1013,3076559351
1014,3077041263
1015,3077521554
1016,3077998248
1017,3078474907
1018,3078951464
1019,3079426553
1020,3079900949
1021,3080374759
1022,3080847917
1023,3081320323
1024,3081792597
1025,3082264476
1026,3082736278
1027,3083206036
1028,3083674850
1029,3084143111
1030,3084610726
1031,3085077757
1032,3085544651
1033,3086010943
1034,3086476461
1035,3086941439
1036,3087405319
1037,3087869198
1038,3088332826
1039,3088796167
1040,3089258918
1041,3089721478
1042,3090183760
1043,3090643779
1044,3091103542
1045,3091562343
1046,3092020699
1047,3092478912
1048,3092937014
1049,3093394541
1050,3093851904
1051,3094308337
1052,3094764100
1053,3095219758
1054,3095674991
1055,3096129471
1056,3096583937
1057,3097038257
1058,3097492508
1059,3097946560
1060,3098400579
1061,3098854483
1062,3099308125
1063,3099761596
1064,3100214257
1065,3100666368
1066,3101117850
1067,3101567651
1068,3102017262
1069,3102465177
1070,3102912997
1071,3103360396
1072,3103807756
1073,3104254790
1074,3104701497
1075,3105147469
1076,3105593267
1077,3106038570
1078,3106483866
1079,3106928736
1080,3107372936
1081,3107816876
1082,3108260411
1083,3108703328
1084,3109146021
1085,3109587045
1086,3110027457
1087,3110467645
1088,3110907268
1089,3111346167
1090,3111784872
1091,3112223483
1092,3112662071
1093,3113100376
1094,3113538495
1095,3113976417
1096,3114413998
1097,3114851447
1098,3115288616
1099,3115725445
1100,3116161869
1101,3116597993
1102,3117034093
1103,3117469275
1104,3117904098
1105,3118338147
1106,3118772121
1107,3119205982
1108,3119639818
1109,3120073619
1110,3120506993
1111,3120940115
1112,3121373216
1113,3121804916
1114,3122236415
1115,3122667842
1116,3123099070
1117,3123526428
1118,3123953371
1119,3124379583
1120,3124805537
1121,3125230794
1122,3125655228
1123,3126079652
1124,3126503387
1125,3126926694
1126,3127349443
1127,3127771441
1128,3128193191
1129,3128613238
1130,3129032879
1131,3129452326
1132,3129871547
1133,3130290652
1134,3130709621
1135,3131128334
1136,3131547011
1137,3131965460
1138,3132383347
1139,3132800544
1140,3133216949
1141,3133632997
1142,3134049032
1143,3134464643
1144,3134879207
1145,3135293481
1146,3135707566
1147,3136121115
1148,3136534551
1149,3136947866
1150,3137360731
1151,3137773507
1152,3138183466
1153,3138593281
1154,3139002622
1155,3139411447
1156,3139820094
1157,3140228556
1158,3140636912
1159,3141044969
1160,3141452619
1161,3141860060
1162,3142267218
1163,3142674196
1164,3143081160
1165,3143487976
1166,3143894763
1167,3144300923
1168,3144706926
1169,3145111881
1170,3145516570
1171,3145921215
1172,3146324945
1173,3146728601
1174,3147131334
1175,3147533760
1176,3147935109
1177,3148335035
1178,3148734637
1179,3149133187
1180,3149531529
1181,3149929745
1182,3150327558
1183,3150725020
1184,3151122365
1185,3151519298
1186,3151915598
1187,3152311798
1188,3152707598
1189,3153102956
1190,3153498153
1191,3153892857
1192,3154287339
1193,3154680969
1194,3155074079
1195,3155466848
1196,3155859438
1197,3156251626
1198,3156643552
1199,3157035265
1200,3157425422
1201,3157815542
1202,3158205180
1203,3158594258
1204,3158982514
1205,3159370343
1206,3159757289
1207,3160143899
1208,3160530234
1209,3160916540
1210,3161301954
1211,3161686850
1212,3162070319
1213,3162453348
1214,3162835310
1215,3163217019
1216,3163598306
1217,3163977023
1218,3164355671
1219,3164734161
1220,3165112509
1221,3165489994
1222,3165866897
1223,3166243191
1224,3166618865
1225,3166994223
1226,3167369476
1227,3167743884
1228,3168117279
1229,3168489778
1230,3168862080
1231,3169233645
1232,3169605006
1233,3169976239
1234,3170346848
1235,3170716591
1236,3171086278
1237,3171454759
1238,3171823057
1239,3172191246
1240,3172559410
1241,3172927274
1242,3173294655
1243,3173661715
1244,3174028737
1245,3174395671
1246,3174762529
1247,3175129249
1248,3175494705
1249,3175859445
1250,3176223455
1251,3176587447
1252,3176950278
1253,3177313086
1254,3177675195
1255,3178036927
1256,3178398599
1257,3178760230
1258,3179121800
1259,3179483217
1260,3179844384
1261,3180205059
1262,3180564315
1263,3180923436
1264,3181282183
1265,3181640882
1266,3181999066
1267,3182356855
1268,3182714327
1269,3183070248
1270,3183425649
1271,3183780940
1272,3184135946
